Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
8 5 -6.537627 0.0 -33.7365 6.36042 -10.8276 331.081 -2696.5 329.24 -2684.13 0.0 329.24 -2684.13 16.0795 -33.7365 -2372.5469 12.3759 12.3759
8 6 -5.8316393 0.0 -23.8294 6.47611 -10.914 331.081 -2696.5 329.301 -2687.91 0.0 329.301 -2687.91 20.7112 -23.8294 -2361.727 20.0521 20.0521
9 0 -6.4418855 0.0 -26.7448 6.33705 -10.8219 331.081 -2696.5 330.881 -2695.94 0.0 330.881 -2695.94 15.4929 -26.7448 -2376.3108 20.0968 20.0968
9 1 -6.4418855 0.0 -26.7448 6.33705 -10.8219 331.081 -2696.5 330.881 -2695.94 0.0 330.881 -2695.94 15.4929 -26.7448 -2376.3108 20.0968 20.0968
9 2 -6.452888 0.0 -27.1713 6.34268 -10.8215 331.081 -2696.5 330.906 -2695.49 0.0 330.906 -2695.49 15.4516 -27.1713 -2376.3037 20.2442 20.2442
9 3 -6.452888 0.0 -27.1713 6.34268 -10.8215 331.081 -2696.5 330.906 -2695.49 0.0 330.906 -2695.49 15.4516 -27.1713 -2376.3037 20.2442 20.2442
9 4 -6.452888 0.0 -27.1713 6.34268 -10.8215 331.081 -2696.5 330.906 -2695.49 0.0 330.906 -2695.49 15.4516 -27.1713 -2376.3037 20.2442 20.2442
9 5 -6.452888 0.0 -27.1713 6.34268 -10.8215 331.081 -2696.5 330.906 -2695.49 0.0 330.906 -2695.49 15.4516 -27.1713 -2376.3037 20.2442 20.2442
9 6 -6.411321 0.0 -26.2095 6.32873 -10.8103 331.081 -2696.5 330.888 -2696.28 0.0 330.888 -2696.28 15.4282 -26.2095 -2376.1733 20.134 20.134
9 7 -6.411321 0.0 -26.2095 6.32873 -10.8103 331.081 -2696.5 330.888 -2696.28 0.0 330.888 -2696.28 15.4282 -26.2095 -2376.1733 20.134 20.134
9 8 -6.2734957 0.0 -24.2626 6.2897 -10.7924 331.081 -2696.5 331.024 -2697.29 0.0 331.024 -2697.29 15.1123 -24.2626 -2375.4165 21.0685 21.0685
9 9 -6.2734957 0.0 -24.2626 6.2897 -10.7924 331.081 -2696.5 331.024 -2697.29 0.0 331.024 -2697.29 15.1123 -24.2626 -2375.4165 21.0685 21.0685
9 10 -6.2734957 0.0 -24.2626 6.2897 -10.7924 331.081 -2696.5 331.024 -2697.29 0.0 331.024 -2697.29 15.1123 -24.2626 -2375.4165 21.0685 21.0685
9 11 -6.208831 0.0 -23.2797 6.26577 -10.7881 331.081 -2696.5 331.111 -2697.92 0.0 331.111 -2697.92 14.9498 -23.2797 -2375.1387 21.7504 21.7504
9 12 -6.208831 0.0 -23.2797 6.26577 -10.7881 331.081 -2696.5 331.111 -2697.92 0.0 331.111 -2697.92 14.9498 -23.2797 -2375.1387 21.7504 21.7504
9 13 -6.208831 0.0 -23.2797 6.26577 -10.7881 331.081 -2696.5 331.111 -2697.92 0.0 331.111 -2697.92 14.9498 -23.2797 -2375.1387 21.7504 21.7504
9 14 -6.208831 0.0 -23.2797 6.26577 -10.7881 331.081 -2696.5 331.111 -2697.92 0.0 331.111 -2697.92 14.9498 -23.2797 -2375.1387 21.7504 21.7504
9 15 -6.1072893 0.0 -21.8919 6.18798 -10.804 331.081 -2696.5 331.155 -2698.61 0.0 331.155 -2698.61 15.2256 -21.8919 -2374.1213 23.341 23.341
10 0 -6.299635 0.0 -24.1214 6.28003 -10.8273 331.081 -2696.5 331.357 -2698.5 0.0 331.357 -2698.5 15.3379 -24.1214 -2375.9265 21.8503 21.8503
