ligand,score,COM_x,COM_y,COM_z,exhaustiveness
Chrysin,-5.7,41.63674622014561,-0.26927212376313214,8.816805235587553,8192
Chrysin,-5.7,41.432038326426685,0.9973551099072208,8.885217888390155,8192
Chrysin,-8.2,40.59460064796926,13.761825734167045,-0.4878884868306405,8192
Chrysin,-7.8,40.0194091145474,16.06214609140644,-1.0510099534399058,8192
Chrysin,-7.8,40.014092513134514,16.06592796562147,-1.046783054039657,8192
Chrysin,-7.6,39.58051405565001,16.47027855950255,-1.093991229471991,8192
Chrysin,-7.2,40.31868216579146,15.792593482090473,-1.6192536017676746,8192
Chrysin,-6.7,40.14509552273537,15.058746250855815,-0.7284439770570343,8192
Chrysin,-6.5,39.79158325818946,18.575209631405148,-1.5919965801172182,8192
Chrysin,-6.0,42.83420841632068,0.8451684774453396,8.492022295045693,8192
