ligand,site,score,COM_x,COM_y,COM_z,exhaustiveness,i,model
Chrysin,0,-6.7,40.1419168015655,15.060080798569533,-0.7294103055836777,1024,2,3
Chrysin,0,-6.7,40.14695757603481,15.062714963079916,-0.7255051186531318,1024,2,4
Chrysin,0,-5.6,46.65959186119246,10.748336671105573,-7.856141066874419,1024,2,5
Chrysin,0,-5.6,46.662503703302335,10.736664878866494,-7.876826061092691,1024,2,6
Chrysin,0,-5.5,40.23234971051565,13.503880619897837,-13.18449491490063,1024,2,7
Chrysin,0,-5.4,47.99341372571023,12.260190870471234,-7.470869686249685,1024,2,8
Chrysin,0,-5.2,48.74777626448289,10.845509206279933,-6.067356683440026,1024,2,9
Chrysin,0,-5.2,48.39982141483254,10.891516096416751,-6.377914160649676,1024,2,10
Chrysin,0,-5.2,50.80870681008717,10.717975878346618,-2.8267326909970105,1024,2,11
Chrysin,0,-5.2,50.17025872793591,10.523478396218456,-3.999466508928834,1024,2,12
Chrysin,0,-5.2,43.64990027215914,11.536090852670688,-11.011059003580346,1024,2,13
Chrysin,0,-5.2,48.92369853920945,11.350396140944934,-6.0457709846011065,1024,2,14
Chrysin,0,-5.1,51.98678957703511,9.443282597489292,-3.2237516999686986,1024,2,15
Chrysin,0,-5.0,49.33753420138703,9.733825970749422,-6.1887405360752,1024,2,16
Chrysin,0,-5.0,48.94286125337153,12.445317721685699,-7.715831011773959,1024,2,17
Chrysin,0,-5.0,43.872298017428314,12.450864704370746,-11.139884502952372,1024,2,18
Chrysin,0,-5.0,48.106228132845914,11.668571552073844,-7.306480809813687,1024,2,19
Chrysin,0,-5.0,50.2246305584165,13.181982574879104,-7.106570390041642,1024,2,20
Chrysin,0,-7.8,39.9902362744645,16.088496281911315,-1.0653180317938449,1024,3,1
Chrysin,0,-7.2,40.32182709971536,15.795710873340774,-1.608766072348225,1024,3,2
Chrysin,0,-6.7,40.14986383441055,15.061131245049715,-0.7244465998554349,1024,3,3
Chrysin,0,-6.3,40.38625549767649,14.14646160122562,-0.7189887149717736,1024,3,4
Chrysin,0,-5.6,46.65780410020339,10.728538896881043,-7.875622717156751,1024,3,5
Chrysin,0,-5.4,40.2121190859991,13.500290579707269,-13.237458303208761,1024,3,6
Chrysin,0,-5.4,47.99100962822041,12.266369502597742,-7.47138450868007,1024,3,7
Chrysin,0,-5.2,48.746246278844374,10.847855506580808,-6.069283618400751,1024,3,8
Chrysin,0,-5.2,48.395556547616415,10.891677959223506,-6.376359349622694,1024,3,9
Chrysin,0,-5.2,50.81370087749155,10.707164316942725,-2.8216159539229837,1024,3,10
Chrysin,0,-5.2,50.264884448356455,10.476341746740031,-4.041654031336931,1024,3,11
Chrysin,0,-5.2,43.658981160503195,11.549149478304175,-11.005486757683183,1024,3,12
Chrysin,0,-5.2,48.92131275629929,11.349988235307505,-6.056498021263008,1024,3,13
Chrysin,0,-5.1,51.94977284654996,9.462349281141359,-3.206419281496391,1024,3,14
Chrysin,0,-5.1,49.31268066911544,9.756828461932624,-6.1631127970674875,1024,3,15
Chrysin,0,-5.0,46.91778761799976,10.214063067890134,-8.110406418954412,1024,3,16
Chrysin,0,-5.0,43.86401757233497,12.455962968439415,-11.12941246269177,1024,3,17
Chrysin,0,-5.0,48.97491421045223,12.444549795838027,-7.701932626343079,1024,3,18
Chrysin,0,-5.0,48.08737290647548,11.679276296452352,-7.325504104241191,1024,3,19
Chrysin,0,-5.0,50.191782171324185,13.299417313686714,-7.003840051219438,1024,3,20
Chrysin,0,-7.8,40.001992097319885,16.08896065786151,-1.0697647527840073,1024,4,1
Chrysin,0,-7.2,40.31883415940829,15.789289687567468,-1.607932774044574,1024,4,2
Chrysin,0,-6.7,40.14350472559492,15.055496115929923,-0.7346912443152598,1024,4,3
Chrysin,0,-6.3,40.374254000106774,14.169170405689231,-0.7104850170315755,1024,4,4
Chrysin,0,-5.6,46.65839758375626,10.747994391080265,-7.860195526318209,1024,4,5
Chrysin,0,-5.6,46.65676511310095,10.72464923380051,-7.872011103123029,1024,4,6
Chrysin,0,-5.4,40.228981855870174,13.502375131422252,-13.235250140125508,1024,4,7
Chrysin,0,-5.4,47.98648625161466,12.26765773126761,-7.474956559348021,1024,4,8
Chrysin,0,-5.2,48.740773240258136,10.84039234579635,-6.060138174996058,1024,4,9
Chrysin,0,-5.2,50.82017542827141,10.711517995656541,-2.817735504312471,1024,4,10
Chrysin,0,-5.2,48.4014856891628,10.889640852349771,-6.374474600826142,1024,4,11
Chrysin,0,-5.2,43.65085695946637,11.553254677112584,-10.984898671734562,1024,4,12
Chrysin,0,-5.2,50.16990528523576,10.518984150849223,-4.0041002905364875,1024,4,13
Chrysin,0,-5.2,48.913611290520336,11.357283963850023,-6.050194736870758,1024,4,14
Chrysin,0,-5.1,51.99414301404816,9.419158111204935,-3.2356516921611553,1024,4,15
Chrysin,0,-5.1,46.91543625400728,10.201544603699743,-8.101190321912092,1024,4,16
Chrysin,0,-5.1,49.31875900461217,9.744170397808562,-6.171950019616356,1024,4,17
Chrysin,0,-5.0,43.8697408412275,12.45362835394317,-11.128469530960004,1024,4,18
Chrysin,0,-5.0,48.15540497370583,11.68771180195911,-7.3143231377323,1024,4,19
Chrysin,0,-5.0,50.199514700402,13.297176438621138,-7.008817409830799,1024,4,20
Chrysin,0,-7.8,40.00082936430919,16.056752092458225,-1.0552185022694283,1024,5,1
Chrysin,0,-7.2,40.32952714616252,15.79444849730787,-1.6064372676880072,1024,5,2
