ligand,site,score,COM_x,COM_y,COM_z,exhaustiveness,i,model
Quercetin,0,-5.8,48.738126156328896,11.179564405182234,-6.3223874481439175,1024,4,13
Quercetin,0,-5.8,48.98131877189449,11.765385755437466,-7.067192881588277,1024,4,14
Quercetin,0,-5.7,49.295544994880444,9.797016801624,-7.019610026625824,1024,4,15
Quercetin,0,-5.7,47.71787365416446,11.033013215331337,-7.3068809999034325,1024,4,16
Quercetin,0,-7.0,40.01008338966605,14.978925454158196,-0.5500231264765254,1024,5,1
Quercetin,0,-6.9,39.805396903894355,16.20809128265937,-0.9497315350612585,1024,5,2
Quercetin,0,-6.5,47.122644217775225,11.723023266116567,-7.68360049563802,1024,5,3
Quercetin,0,-6.5,47.027678629118434,10.772236037695414,-7.724267760076209,1024,5,4
Quercetin,0,-6.2,46.81641159039239,10.836844537096646,-7.814953625173166,1024,5,5
Quercetin,0,-6.1,47.02833824087873,11.088546995266036,-7.555998661945603,1024,5,6
Quercetin,0,-6.0,48.96294308696008,11.739039597204107,-6.772751320944292,1024,5,7
Quercetin,0,-6.0,47.62006587140264,11.742022743694585,-7.866368170954404,1024,5,8
Quercetin,0,-6.0,49.72908204770847,10.9541535309582,-4.383689732150219,1024,5,9
Quercetin,0,-6.0,48.096137131834006,10.179111996156031,-7.455872838060966,1024,5,10
Quercetin,0,-5.9,47.89144790979054,12.195995397262456,-8.209207372590244,1024,5,11
Quercetin,0,-5.9,47.499503064375425,11.698971911423131,-7.918568084949601,1024,5,12
Quercetin,0,-5.8,48.730372695224375,11.168697816063455,-6.321073611027459,1024,5,13
Quercetin,0,-5.8,48.97902367951838,11.766497998571301,-7.071151497731946,1024,5,14
Quercetin,0,-5.8,48.04063103535183,10.089929604058245,-7.141860063992153,1024,5,15
Quercetin,0,-5.8,47.9870390137443,10.935021529869344,-7.023348991411969,1024,5,16
Quercetin,0,-5.7,49.29712619993696,9.79941793139603,-7.031072003383665,1024,5,17
Quercetin,1,-7.5,40.23680367101885,14.688350573483136,-0.3583456771986661,1024,1,1
Quercetin,1,-7.2,40.203357983692094,14.630777158658345,-0.49386354853265263,1024,1,2
Quercetin,1,-7.0,39.73847918794776,17.089941558658758,-0.9335520839509184,1024,1,3
Quercetin,1,-6.8,40.08280414774658,15.65981156394488,-0.9362619999751007,1024,1,4
Quercetin,1,-6.7,39.8212080528896,16.77965354458572,-1.0649681640901683,1024,1,5
Quercetin,1,-6.6,40.30879128107791,14.555640486727977,-0.5879375608485677,1024,1,6
Quercetin,1,-6.3,39.60850929346516,17.33395300295062,-1.014761505649365,1024,1,7
Quercetin,1,-6.3,47.01742794139965,10.780292408595507,-7.674052179276276,1024,1,8
Quercetin,1,-6.2,40.461000957291354,13.73853286544387,0.17196637589012115,1024,1,9
Quercetin,1,-5.8,46.823756482242004,10.790437265047228,-7.877052138090876,1024,1,10
Quercetin,1,-5.8,48.10112088789531,10.18069381293686,-7.444582958733512,1024,1,11
Quercetin,1,-5.5,47.543667868086956,11.047225244227064,-7.292647056337524,1024,1,12
Quercetin,1,-5.5,47.08986704161982,10.327675221766892,-7.966038540314081,1024,1,13
Quercetin,1,-5.1,47.53599297075604,11.508529928763396,-6.9879604046129025,1024,1,14
Quercetin,1,-5.1,45.29904653438663,9.880132410722073,-8.996711851401468,1024,1,15
Quercetin,1,-5.1,46.28946998159781,10.883769712513129,-8.55979142112172,1024,1,16
Quercetin,1,-5.1,46.073437791708905,9.917286926697733,-8.750810708540286,1024,1,17
Quercetin,1,-5.0,48.38111688079824,10.180852769600333,-6.900298086258514,1024,1,18
Quercetin,1,-7.5,40.243124443097024,14.687682507006405,-0.3527739349586986,1024,2,1
Quercetin,1,-7.0,39.746974201856254,17.084030615826038,-0.9205860401685512,1024,2,2
