Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
8 1 -7.78548 0.0 -55.9343 9.60737 -25.3043 331.081 -2696.5 331.074 -2682.5 0.0 331.074 -2682.5 133.452 -55.9343 -2273.9084 58.5647 58.5647
8 2 -7.7918177 0.0 -55.8939 9.59701 -25.3152 331.081 -2696.5 331.001 -2682.58 0.0 331.001 -2682.58 134.847 -55.8939 -2272.626 58.7263 58.7263
8 3 -7.5836678 0.0 -53.0363 9.59865 -24.8362 331.081 -2696.5 330.901 -2682.96 0.0 330.901 -2682.96 132.996 -53.0363 -2272.099 58.476 58.476
8 4 -7.5566654 0.0 -52.6783 9.59855 -24.8698 331.081 -2696.5 330.923 -2683.14 0.0 330.923 -2683.14 132.875 -52.6783 -2272.02 58.5551 58.5551
8 5 -7.5566654 0.0 -52.6783 9.59855 -24.8698 331.081 -2696.5 330.923 -2683.14 0.0 330.923 -2683.14 132.875 -52.6783 -2272.02 58.5551 58.5551
8 6 -7.520785 0.0 -52.1806 9.60378 -24.7972 331.081 -2696.5 330.844 -2683.12 0.0 330.844 -2683.12 132.85 -52.1806 -2271.6067 58.6314 58.6314
8 7 -6.8951273 0.0 -42.1014 9.64109 -23.2567 331.081 -2696.5 330.819 -2686.84 0.0 330.819 -2686.84 130.18 -42.1014 -2267.9424 60.6628 60.6628
9 0 -6.9624877 0.0 -37.0609 9.7675 -22.8062 331.081 -2696.5 330.194 -2694.12 0.0 330.194 -2694.12 127.501 -37.0609 -2273.4858 61.3223 61.3223
9 1 -6.997342 0.0 -37.4208 9.71096 -22.5911 331.081 -2696.5 330.158 -2693.95 0.0 330.158 -2693.95 127.791 -37.4208 -2273.4219 61.1862 61.1862
9 2 -6.956623 0.0 -36.6704 9.74967 -22.5257 331.081 -2696.5 330.152 -2694.31 0.0 330.152 -2694.31 127.575 -36.6704 -2273.2534 61.3925 61.3925
9 3 -7.3436165 0.0 -47.198 9.83024 -32.3365 331.081 -2696.5 330.07 -2693.92 0.0 330.07 -2693.92 141.428 -47.198 -2269.6199 60.4889 60.4889
9 4 -7.356464 0.0 -47.079 9.66105 -30.4612 331.081 -2696.5 330.057 -2692.68 0.0 330.057 -2692.68 141.208 -47.079 -2268.4941 61.8057 61.8057
9 5 -6.4275017 0.0 -28.8914 9.94641 -24.1807 331.081 -2696.5 330.327 -2699.31 0.0 330.327 -2699.31 129.814 -28.8914 -2268.0605 61.2531 61.2531
9 6 -6.292817 0.0 -26.608 9.96247 -23.2687 331.081 -2696.5 330.358 -2699.75 0.0 330.358 -2699.75 128.697 -26.608 -2267.303 61.8673 61.8673
9 7 -6.775452 0.0 -38.2073 9.51745 -29.3032 331.081 -2696.5 329.673 -2695.37 0.0 329.673 -2695.37 139.986 -38.2073 -2263.9182 64.7712 64.7712
10 0 -6.735157 0.0 -35.4958 9.86461 -24.1044 331.081 -2696.5 331.79 -2696.44 0.0 331.79 -2696.44 127.275 -35.4958 -2272.8706 56.5577 56.5577
10 1 -6.735157 0.0 -35.4958 9.86461 -24.1044 331.081 -2696.5 331.79 -2696.44 0.0 331.79 -2696.44 127.275 -35.4958 -2272.8706 56.5577 56.5577
10 2 -6.735157 0.0 -35.4958 9.86461 -24.1044 331.081 -2696.5 331.79 -2696.44 0.0 331.79 -2696.44 127.275 -35.4958 -2272.8706 56.5577 56.5577
10 3 -6.6229644 0.0 -32.5681 9.8804 -24.5022 331.081 -2696.5 331.754 -2699.45 0.0 331.754 -2699.45 128.597 -32.5681 -2271.6672 58.2146 58.2146
10 4 -6.6229644 0.0 -32.5681 9.8804 -24.5022 331.081 -2696.5 331.754 -2699.45 0.0 331.754 -2699.45 128.597 -32.5681 -2271.6672 58.2146 58.2146
10 5 -6.6229644 0.0 -32.5681 9.8804 -24.5022 331.081 -2696.5 331.754 -2699.45 0.0 331.754 -2699.45 128.597 -32.5681 -2271.6672 58.2146 58.2146
10 6 -6.616413 0.0 -32.6871 9.87709 -24.5965 331.081 -2696.5 331.768 -2699.28 0.0 331.768 -2699.28 128.698 -32.6871 -2271.501 58.1612 58.1612
10 7 -6.616413 0.0 -32.6871 9.87709 -24.5965 331.081 -2696.5 331.768 -2699.28 0.0 331.768 -2699.28 128.698 -32.6871 -2271.501 58.1612 58.1612
11 0 -6.919635 0.0 -41.3033 9.97922 -23.349 331.081 -2696.5 332.492 -2690.63 0.0 332.492 -2690.63 126.612 -41.3033 -2272.8293 54.0686 54.0686
11 1 -6.916839 0.0 -41.1991 9.9829 -23.3154 331.081 -2696.5 332.514 -2690.74 0.0 332.514 -2690.74 126.665 -41.1991 -2272.7603 54.1127 54.1127
11 2 -6.916839 0.0 -41.1991 9.9829 -23.3154 331.081 -2696.5 332.514 -2690.74 0.0 332.514 -2690.74 126.665 -41.1991 -2272.7603 54.1127 54.1127
11 3 -6.916839 0.0 -41.1991 9.9829 -23.3154 331.081 -2696.5 332.514 -2690.74 0.0 332.514 -2690.74 126.665 -41.1991 -2272.7603 54.1127 54.1127
11 4 -6.916839 0.0 -41.1991 9.9829 -23.3154 331.081 -2696.5 332.514 -2690.74 0.0 332.514 -2690.74 126.665 -41.1991 -2272.7603 54.1127 54.1127
11 5 -6.909854 0.0 -41.2565 9.98352 -23.2955 331.081 -2696.5 332.497 -2690.49 0.0 332.497 -2690.49 126.558 -41.2565 -2272.6914 54.1461 54.1461
11 6 -6.909854 0.0 -41.2565 9.98352 -23.2955 331.081 -2696.5 332.497 -2690.49 0.0 332.497 -2690.49 126.558 -41.2565 -2272.6914 54.1461 54.1461
11 7 -6.909854 0.0 -41.2565 9.98352 -23.2955 331.081 -2696.5 332.497 -2690.49 0.0 332.497 -2690.49 126.558 -41.2565 -2272.6914 54.1461 54.1461
12 0 -7.6272388 0.0 -50.1691 9.78262 -25.6425 331.081 -2696.5 331.79 -2690.0 0.0 331.79 -2690.0 135.768 -50.1691 -2272.611 63.1475 63.1475
12 1 -7.595816 0.0 -49.7702 9.79068 -25.716 331.081 -2696.5 331.852 -2690.26 0.0 331.852 -2690.26 135.637 -49.7702 -2272.5413 63.3045 63.3045
12 2 -7.595816 0.0 -49.7702 9.79068 -25.716 331.081 -2696.5 331.852 -2690.26 0.0 331.852 -2690.26 135.637 -49.7702 -2272.5413 63.3045 63.3045
12 3 -7.595816 0.0 -49.7702 9.79068 -25.716 331.081 -2696.5 331.852 -2690.26 0.0 331.852 -2690.26 135.637 -49.7702 -2272.5413 63.3045 63.3045
12 4 -7.480017 0.0 -48.3344 9.79664 -25.3599 331.081 -2696.5 331.909 -2690.31 0.0 331.909 -2690.31 134.52 -48.3344 -2272.2156 63.2619 63.2619
12 5 -7.480017 0.0 -48.3344 9.79664 -25.3599 331.081 -2696.5 331.909 -2690.31 0.0 331.909 -2690.31 134.52 -48.3344 -2272.2156 63.2619 63.2619
12 6 -7.480017 0.0 -48.3344 9.79664 -25.3599 331.081 -2696.5 331.909 -2690.31 0.0 331.909 -2690.31 134.52 -48.3344 -2272.2156 63.2619 63.2619
12 7 -7.480017 0.0 -48.3344 9.79664 -25.3599 331.081 -2696.5 331.909 -2690.31 0.0 331.909 -2690.31 134.52 -48.3344 -2272.2156 63.2619 63.2619
13 0 -7.0890365 0.0 -42.4725 10.0663 -24.3431 331.081 -2696.5 332.382 -2692.28 0.0 332.382 -2692.28 129.791 -42.4725 -2272.5793 64.12 64.12
13 1 -6.2811193 0.0 -27.3791 9.93371 -20.5906 331.081 -2696.5 331.805 -2697.97 0.0 331.805 -2697.97 122.364 -27.3791 -2271.1802 61.9622 61.9622
13 2 -6.430548 0.0 -31.6827 9.88192 -23.7294 331.081 -2696.5 331.942 -2697.19 0.0 331.942 -2697.19 126.714 -31.6827 -2270.2168 63.0561 63.0561
13 3 -6.341345 0.0 -29.9059 10.0786 -24.4379 331.081 -2696.5 331.914 -2698.84 0.0 331.914 -2698.84 128.399 -29.9059 -2268.4329 64.3864 64.3864
13 4 -6.776256 0.0 -36.1395 10.0335 -23.7611 331.081 -2696.5 332.235 -2696.2 0.0 332.235 -2696.2 131.688 -36.1395 -2268.4165 67.6117 67.6117
13 5 -6.343264 0.0 -30.081 10.0606 -24.4266 331.081 -2696.5 331.864 -2698.54 0.0 331.864 -2698.54 128.506 -30.081 -2268.251 64.4915 64.4915
13 6 -6.569082 0.0 -33.4995 10.049 -27.4341 331.081 -2696.5 331.928 -2700.07 0.0 331.928 -2700.07 133.464 -33.4995 -2268.1775 65.357 65.357
14 0 -6.4253464 0.0 -33.9438 9.94109 -22.871 331.081 -2696.5 334.575 -2696.73 0.0 334.575 -2696.73 124.045 -33.9438 -2272.054 61.7719 61.7719
14 1 -6.4253464 0.0 -33.9438 9.94109 -22.871 331.081 -2696.5 334.575 -2696.73 0.0 334.575 -2696.73 124.045 -33.9438 -2272.054 61.7719 61.7719
14 2 -6.4253464 0.0 -33.9438 9.94109 -22.871 331.081 -2696.5 334.575 -2696.73 0.0 334.575 -2696.73 124.045 -33.9438 -2272.054 61.7719 61.7719
14 3 -6.511572 0.0 -35.8682 9.93443 -24.1119 331.081 -2696.5 334.688 -2696.59 0.0 334.688 -2696.59 126.827 -35.8682 -2270.9434 62.9384 62.9384
14 4 -6.511572 0.0 -35.8682 9.93443 -24.1119 331.081 -2696.5 334.688 -2696.59 0.0 334.688 -2696.59 126.827 -35.8682 -2270.9434 62.9384 62.9384
14 5 -6.471863 0.0 -35.4047 9.9563 -24.0487 331.081 -2696.5 334.571 -2696.38 0.0 334.571 -2696.38 126.732 -35.4047 -2270.4814 62.6618 62.6618
14 6 -6.471863 0.0 -35.4047 9.9563 -24.0487 331.081 -2696.5 334.571 -2696.38 0.0 334.571 -2696.38 126.732 -35.4047 -2270.4814 62.6618 62.6618
14 7 -6.471863 0.0 -35.4047 9.9563 -24.0487 331.081 -2696.5 334.571 -2696.38 0.0 334.571 -2696.38 126.732 -35.4047 -2270.4814 62.6618 62.6618
15 0 -7.6235104 0.0 -47.8093 9.78356 -23.4984 331.081 -2696.5 329.732 -2688.26 0.0 329.732 -2688.26 134.548 -47.8093 -2271.7893 54.7511 54.7511
15 1 -7.624293 0.0 -47.8806 9.78981 -23.4811 331.081 -2696.5 329.709 -2688.1 0.0 329.709 -2688.1 134.568 -47.8806 -2271.7036 54.7695 54.7695
15 2 -7.572313 0.0 -45.8341 9.70172 -24.2912 331.081 -2696.5 329.754 -2691.43 0.0 329.754 -2691.43 136.706 -45.8341 -2270.8042 55.4553 55.4553
15 3 -7.6198287 0.0 -46.3243 9.67987 -24.1762 331.081 -2696.5 329.691 -2691.27 0.0 329.691 -2691.27 137.325 -46.3243 -2270.5784 55.6019 55.6019
15 4 -7.5066285 0.0 -45.3748 9.72966 -24.4058 331.081 -2696.5 329.807 -2691.22 0.0 329.807 -2691.22 136.985 -45.3748 -2269.8027 56.167 56.167
15 5 -6.8626776 0.0 -41.5677 9.9479 -26.2857 331.081 -2696.5 329.176 -2687.15 0.0 329.176 -2687.15 159.563 -41.5677 -2239.9785 84.1625 84.1625
15 6 -6.862357 0.0 -41.5781 9.94489 -26.3016 331.081 -2696.5 329.17 -2687.14 0.0 329.17 -2687.14 159.622 -41.5781 -2239.926 84.1696 84.1696
15 7 -6.104966 0.0 -33.5798 9.89727 -26.8811 331.081 -2696.5 329.189 -2687.81 0.0 329.189 -2687.81 164.15 -33.5798 -2228.0508 96.274 96.274
16 0 -6.82952 0.0 -38.6206 9.93089 -23.8751 331.081 -2696.5 331.913 -2693.01 0.0 331.913 -2693.01 128.152 -38.6206 -2271.5654 59.0256 59.0256
16 1 -6.82952 0.0 -38.6206 9.93089 -23.8751 331.081 -2696.5 331.913 -2693.01 0.0 331.913 -2693.01 128.152 -38.6206 -2271.5654 59.0256 59.0256
16 2 -6.82952 0.0 -38.6206 9.93089 -23.8751 331.081 -2696.5 331.913 -2693.01 0.0 331.913 -2693.01 128.152 -38.6206 -2271.5654 59.0256 59.0256
16 3 -6.82952 0.0 -38.6206 9.93089 -23.8751 331.081 -2696.5 331.913 -2693.01 0.0 331.913 -2693.01 128.152 -38.6206 -2271.5654 59.0256 59.0256
16 4 -6.7447295 0.0 -37.6217 9.94646 -23.7269 331.081 -2696.5 331.883 -2692.95 0.0 331.883 -2692.95 127.657 -37.6217 -2271.0315 59.6178 59.6178
16 5 -6.7447295 0.0 -37.6217 9.94646 -23.7269 331.081 -2696.5 331.883 -2692.95 0.0 331.883 -2692.95 127.657 -37.6217 -2271.0315 59.6178 59.6178
16 6 -6.6769323 0.0 -34.8409 9.92301 -24.1317 331.081 -2696.5 331.882 -2696.58 0.0 331.882 -2696.58 129.763 -34.8409 -2269.776 60.3947 60.3947
16 7 -6.6769323 0.0 -34.8409 9.92301 -24.1317 331.081 -2696.5 331.882 -2696.58 0.0 331.882 -2696.58 129.763 -34.8409 -2269.776 60.3947 60.3947
17 0 -7.02345 0.0 -43.1825 9.82232 -24.5876 331.081 -2696.5 330.226 -2687.4 0.0 330.226 -2687.4 129.012 -43.1825 -2271.3442 56.2698 56.2698
17 1 -6.9359965 0.0 -42.1942 9.82139 -24.5067 331.081 -2696.5 330.233 -2687.43 0.0 330.233 -2687.43 128.541 -42.1942 -2270.85 56.6459 56.6459
17 2 -6.7824607 0.0 -37.4494 9.74108 -23.4707 331.081 -2696.5 330.069 -2691.09 0.0 330.069 -2691.09 128.315 -37.4494 -2270.1555 59.6253 59.6253
17 3 -6.7899327 0.0 -37.9121 9.73045 -23.4294 331.081 -2696.5 330.1 -2690.52 0.0 330.1 -2690.52 128.243 -37.9121 -2270.089 59.5539 59.5539
17 4 -6.5272636 0.0 -32.1429 9.78987 -22.4153 331.081 -2696.5 329.822 -2693.61 0.0 329.822 -2693.61 132.696 -32.1429 -2263.235 62.6247 62.6247
17 5 -6.546058 0.0 -32.5124 9.78707 -22.4245 331.081 -2696.5 329.777 -2693.29 0.0 329.777 -2693.29 133.071 -32.5124 -2262.9543 62.6677 62.6677
