,ligand,site,score,COM_x,COM_y,COM_z,exhaustiveness,i,model
71,Apigenin,0,-5.2,51.62512832405868,11.261811928169664,-1.9565668988356295,1024,5,13
72,Apigenin,0,-5.2,40.825387336726166,13.976756984200346,-13.280344157676408,1024,5,14
73,Apigenin,0,-5.2,50.47594823082785,10.542416048665283,-3.659473693305797,1024,5,15
74,Apigenin,0,-7.9,40.0853748121716,15.451963481283586,-0.7398817673992407,1024,1,1
75,Apigenin,0,-7.1,40.05697236968207,16.129708252580322,-1.0186796933889342,1024,1,2
76,Apigenin,0,-6.8,40.26541373685488,15.477321377289126,-1.2593522951791527,1024,1,3
77,Apigenin,0,-6.7,40.122268669592295,14.686381745247026,-0.514227958596396,1024,1,4
78,Apigenin,0,-5.6,46.4930081261797,10.869886189864225,-7.809806766664003,1024,1,5
79,Apigenin,0,-5.6,46.4892285108441,10.883822930642426,-7.815972944195937,1024,1,6
80,Apigenin,0,-5.5,47.94195536840288,10.10640722774939,-7.476772044519357,1024,1,7
81,Apigenin,0,-5.5,47.936611932060565,10.108518599620904,-7.475139172263812,1024,1,8
82,Apigenin,0,-5.4,47.68370281278502,11.995326235731113,-7.646599175116623,1024,1,9
83,Apigenin,0,-5.3,46.906899737676675,11.561374070851093,-7.949523001263553,1024,1,10
84,Apigenin,0,-5.3,48.2364563657088,10.985087540336616,-6.54853047465562,1024,1,11
85,Apigenin,0,-5.3,47.14648647319989,11.071497870612943,-7.769889215181365,1024,1,12
86,Apigenin,0,-5.2,51.58921412466696,11.275185590173571,-1.9628951724951336,1024,1,13
87,Apigenin,0,-5.2,50.479800368661614,10.556930428876898,-3.66201647106977,1024,1,14
88,Apigenin,0,-7.9,40.08244909278865,15.454022459465051,-0.7389614134135775,1024,2,1
89,Apigenin,0,-6.8,40.265744238351544,15.475933004842114,-1.2494463449252151,1024,2,2
90,Apigenin,0,-6.6,40.10603168421254,14.678829490283848,-0.5139988641951783,1024,2,3
91,Apigenin,0,-5.6,46.489515245326174,10.88920066006782,-7.817105416153617,1024,2,4
92,Apigenin,0,-5.6,46.68976588711367,10.736390724154234,-7.94327190412063,1024,2,5
93,Apigenin,0,-5.5,46.832273416475246,10.729650000520566,-7.874248670657719,1024,2,6
94,Apigenin,0,-5.5,47.94059714782739,10.102503130226724,-7.473077478668325,1024,2,7
95,Apigenin,0,-5.5,47.93243638379689,10.104356858992794,-7.469320031133182,1024,2,8
96,Apigenin,0,-5.4,47.68427817042561,12.007822429614649,-7.635368405885853,1024,2,9
97,Apigenin,0,-5.3,46.90576691797092,11.574645220352295,-7.9464614471928705,1024,2,10
