Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
7 2 -7.1588507 0.0 -39.8287 7.69268 -14.3492 331.081 -2696.5 329.715 -2687.06 0.0 329.715 -2687.06 2.33895 -39.8287 -2394.8347 -6.46045 -6.46045
7 3 -6.391479 0.0 -31.2826 7.7768 -17.4514 331.081 -2696.5 329.745 -2690.75 0.0 329.745 -2690.75 11.0034 -31.2826 -2381.2842 4.19206 4.19206
7 4 -6.434326 0.0 -31.9459 7.75876 -17.4894 331.081 -2696.5 329.751 -2690.5 0.0 329.751 -2690.5 11.8682 -31.9459 -2380.8267 4.46947 4.46947
8 0 -7.6973047 0.0 -49.4987 7.40127 -14.2788 331.081 -2696.5 329.462 -2680.9 0.0 329.462 -2680.9 2.1916 -49.4987 -2398.745 -8.65689 -8.65689
8 1 -7.5528235 0.0 -48.1324 7.26083 -14.0851 331.081 -2696.5 329.485 -2680.71 0.0 329.485 -2680.71 2.21316 -48.1324 -2397.144 -6.8824 -6.8824
9 0 -7.186677 0.0 -36.2732 7.6653 -13.9954 331.081 -2696.5 329.709 -2692.69 0.0 329.709 -2692.69 1.53485 -36.2732 -2397.7192 -6.99828 -6.99828
9 1 -7.185113 0.0 -36.2602 7.66487 -14.0002 331.081 -2696.5 329.709 -2692.69 0.0 329.709 -2692.69 1.53197 -36.2602 -2397.7092 -6.99865 -6.99865
9 2 -7.2025285 0.0 -39.2014 7.46704 -13.7115 331.081 -2696.5 329.641 -2688.34 0.0 329.641 -2688.34 1.155 -39.2014 -2396.7456 -8.18498 -8.18498
9 3 -7.1996913 0.0 -39.1726 7.47735 -13.7077 331.081 -2696.5 329.642 -2688.32 0.0 329.642 -2688.32 1.1363 -39.1726 -2396.7144 -8.17155 -8.17155
9 4 -7.1109734 0.0 -37.1451 7.64257 -14.8537 331.081 -2696.5 329.684 -2690.96 0.0 329.684 -2690.96 5.07302 -37.1451 -2393.348 -4.72339 -4.72339
9 5 -6.8334785 0.0 -34.3922 7.73607 -14.2086 331.081 -2696.5 329.683 -2689.89 0.0 329.683 -2689.89 2.17176 -34.3922 -2392.4272 -5.31448 -5.31448
9 6 -6.824785 0.0 -34.4123 7.73612 -14.1834 331.081 -2696.5 329.682 -2689.69 0.0 329.682 -2689.69 2.05891 -34.4123 -2392.3613 -5.36586 -5.36586
9 7 -6.8234396 0.0 -34.3261 7.73594 -14.2051 331.081 -2696.5 329.68 -2689.82 0.0 329.68 -2689.82 2.15587 -34.3261 -2392.3103 -5.29794 -5.29794
10 0 -7.463834 0.0 -41.915 7.53165 -13.896 331.081 -2696.5 329.751 -2688.67 0.0 329.751 -2688.67 3.59048 -41.915 -2397.2434 -6.20128 -6.20128
10 1 -7.4647026 0.0 -41.9228 7.53035 -13.9003 331.081 -2696.5 329.752 -2688.68 0.0 329.752 -2688.68 3.61813 -41.9228 -2397.2327 -6.20187 -6.20187
10 2 -6.8480873 0.0 -36.0548 7.70456 -14.6183 331.081 -2696.5 329.756 -2688.13 0.0 329.756 -2688.13 5.9108 -36.0548 -2388.5178 -0.521731 -0.521731
10 3 -6.8486266 0.0 -36.0692 7.7038 -14.6108 331.081 -2696.5 329.756 -2688.11 0.0 329.756 -2688.11 5.90688 -36.0692 -2388.5164 -0.521401 -0.521401
